name,flag,region,status,issuanceModel,isSubnational,url,technology,credentialType,walletType,credentialFormat,description,issuedCredentialTypes,issuingAuthorities,acceptedCredentials
Finland,fi,eu,development,wallet,False,https://dvv.fi/en/european-digital-identity-wallet,Findy + EUDI Wallet,Government Wallet (Multi-credential),Government,Verifiable Credentials,"Findy network + EUDI Wallet launching end 2026. Wallet will hold credentials from government, banks, other issuers.",eID; Mobile Certificate; EUDI Wallet; Bank ID; Health Card,DVV (Digital and Population Data Agency); Finnish Banks; Kela (Social Insurance Institution),Government Services; Healthcare; Banking; Travel (Domestic)
Austroads,au,apac,development,single,False,https://austroads.gov.au/drivers-and-vehicles/digital-trust-service,Digital Trust Service - National Digital Credential,Government Wallet,Platform,mDL,National digital trust service for interoperable digital credentials across Australia and NZ.,Digital Driver License; National Digital Credential,Austroads; State/Territory Transport Authorities,Travel (Domestic); Age Verification; Government Services
Australia,au,apac,production,cloud,False,https://www.myid.gov.au/,Cloud-native federated identity (myID),Government Wallet,Browser/Cloud,OIDC,Federal system. Voluntary myID for 76+ services. Cloud-based. States have additional programs.,Digital ID (myGovID); Physical Driver License (state); Passport; Proof of Age Card,ATO (myGovID); State/Territory Transport Authorities; DFAT,Federal Government Services; Tax Services; Healthcare; Age Verification; Travel (Domestic)
Brazil,br,na,production,single,False,https://www.gov.br/ids/,Gov.br 3-tier system + new national ID card with QR,OIDC-style authentication,Government,OIDC,Since 2017. New national ID (Carteira de Identidade Nacional) replacing RG. 166M Gold accounts.,Gov.br; RG; CNH Digital; CPF; Passport,Ministry of Economy; State Secretariats; DENATRAN; Federal Police,Government Services; Banking; Travel (Domestic); Age Verification
China,cn,apac,production,cloud,False,https://www.mps.gov.cn/,Cyber ID / Web ID (voluntary),OIDC-style authentication,Browser/Cloud,OIDC,"Launched July 2025. Voluntary online identity linked to physical ID. 16M downloads, 6M credentials applied.",Resident Identity Card; Digital ID (CTID); Passport; Driver License; Social Security Card,Ministry of Public Security; Ministry of Transport; Ministry of Human Resources,Government Services; Banking; Travel (Domestic); Healthcare
Estonia,ee,eu,production,multiple,False,https://e-estonia.com/,PKI-based with multiple credentials + government wallet,Bank credentials,Government,PKI,Mandatory since 2002. 99%+ coverage. ID card + Mobile-ID + Smart-ID + mRiik app.,e-Residency; ID-kaart; Digital ID; Mobile-ID; Smart-ID,Police and Border Guard Board; Telia / Elisa / Tele2,Government Services; Banking; Healthcare; Travel (EU)
European Union,eu,eu,development,wallet,False,https://commission.europa.eu/topics/digital-economy-and-society/european-digital-identity_en,EUDI Wallet (eIDAS 2.0) - framework + 27 national wallets,Government Wallet (Multi-credential),Government,Verifiable Credentials,"Regulation mandates all 27 member states to issue EUDI Wallets by end 2026. One wallet can hold credentials from multiple issuers (government, banks, universities).",EUDI Wallet; National eIDs; Digital Driving License; Health Credentials; Professional Credentials,EU Commission (eIDAS 2.0); Member State Authorities,Cross-Border Government Services; Healthcare (Cross-Border); Professional Recognition; Travel (Schengen)
Germany,de,eu,production,single,False,https://www.bsi.bund.de/EN/Themen/Oeffentliche-Verwaltung/Elektronische-Identitaeten/Online-Ausweisfunktion/online-ausweisfunktion_node.html,NFC-enabled ID card (Online-Ausweisfunktion) + EUDI Wallet in dev,PKI-based,Government,PKI,"eID in ID cards since 2010. EUDI Wallet sandbox launched, gradually usable by early 2027.",Personalausweis; EUDI Wallet; Digital Driver License; Health Card (eGK); Passport,Federal Ministry of Interior; State Authorities; Health Insurance Funds,Government Services; Healthcare; Travel (EU); Banking
India,in,apac,production,single,False,https://uidai.gov.in/,Biometric-based with OTP fallback,Biometric Central Database,Platform,Biometric,Worlds largest. One Aadhaar per resident linked to biometrics.,Aadhaar; PAN Card; Passport; Driver License; Voter ID; Health ID (ABHA),UIDAI; Income Tax Department; Ministry of External Affairs; State RTOs; Election Commission; Ministry of Health,Government Services; Banking (KYC); Tax Services; Travel (Domestic); Healthcare
Israel,il,me,production,single,False,https://en.wikipedia.org/wiki/Israeli_identity_card,Biometric smart cards + government portal,PKI-based,Government,PKI,Teudat Zehut (ID card) mandatory. Digital services via gov.il portal.,Teudat Zehut; Digital ID; Driver License; Passport,Ministry of Interior; Ministry of Transport,Government Services; Banking; Healthcare; Travel
